32689 223295
1 366
1 29946
1 32486
1 3202
1 4002
1 3890
1 6890
1 7942
1 9374
1 10177
1 30088
1 29518
1 11480
1 30193
1 13915
1 13852
1 14820
1 30145
1 17315
4 231
6 31493
7 234
11 29853
11 12402
13 195
15 31224
17 114
17 1918
17 1944
17 30407
17 5634
17 7762
17 8298
17 12518
17 25681
17 16735
17 18228
17 17299
17 19450
17 30755
17 30406
17 21059
17 30009
17 21689
18 103
43 149
43 4825
43 12052
43 12053
48 73
58 22040
58 304
58 146
58 95
58 5808
58 6038
58 7388
58 29692
58 9251
58 11238
58 32627
58 14578
58 16533
58 20497
58 24268
65 3091
65 25721
65 29536
67 709
67 209
67 1946
67 24925
67 29188
67 31181
67 8264
67 8531
67 30574
67 14492
67 14360
67 14782
67 25030
67 14761
67 18597
67 24415
67 19409
67 19410
67 21877
69 22108
69 22086
69 32458
69 257
69 754
69 503
69 4227
69 5851
69 6940
69 7717
69 8757
69 9319
69 30674
69 10029
69 10640
69 11186
69 20335
69 29999
69 29536
69 29109
70 209
70 437
70 30911
70 224
70 80
70 30780
70 6277
70 7385
70 7388
70 11238
70 12003
70 14972
70 14764
70 25979
70 17359
70 31805
71 22010
71 7607
71 8172
71 11118
71 12138
72 22080
72 22063
72 22306
72 22016
72 22177
72 22261
72 22372
72 22371
72 22079
72 22088
72 30542
72 22022
72 22111
72 22039
72 22036
72 22037
72 22030
72 22031
72 22038
72 21993
72 22020
72 22012
72 30543
72 22010
72 21987
72 22262
72 22373
72 22251
72 22078
72 22014
72 22345
72 22069
72 22070
72 22066
72 22120
72 22055
72 21968
72 22152
72 22095
72 22151
72 22062
72 22018
72 22129
72 22150
72 22077
72 22153
72 22061
72 22154
72 22068
72 21967
72 22155
72 22156
72 22047
72 22178
72 22158
72 22157
72 21989
72 22246
72 22163
72 22162
72 22076
72 22247
72 22042
72 22106
72 22075
72 22006
72 30297
72 22065
72 22043
72 22009
72 22054
72 21970
72 73
72 27332
72 71
72 2419
72 28017
72 4545
72 28604
72 27679
72 8473
72 12136
72 15616
72 27454
72 30442
72 17259
72 29384
72 21625
73 25968
73 29536
76 31747
76 3165
76 3963
76 3651
76 6571
76 30484
76 11136
76 30684
76 15247
76 20981
76 21039
77 31732
78 5638
78 14763
80 1320
80 30388
80 15944
80 16457
80 17317
81 6758
81 7818
84 85
85 29643
85 84
85 771
85 30299
85 26247
85 8849
86 30388
87 28036
87 30388
87 31181
88 30395
88 24604
88 4391
88 3178
88 30469
88 5632
88 6096
88 7271
88 24796
88 31012
88 12559
88 12630
88 15779
88 14747
88 16472
88 17167
88 30115
89 116
89 2387
89 5632
89 7606
89 30115
90 713
90 358
90 1159
90 1117
90 1058
90 3047
90 3192
90 3387
90 29751
90 28704
90 7772
90 7630
90 7532
90 8465
90 9548
90 9173
90 8319
90 12120
90 12625
90 12149
90 12374
90 32202
90 13547
90 14325
90 24501
90 16550
90 16749
90 16533
90 17359
90 30911
90 21488
90 21892
91 248
91 994
91 7373
91 10047
91 15305
91 16615
91 21904
92 4903
92 5634
92 5886
92 6957
92 9825
92 16521
93 22180
93 28142
93 3696
93 4100
93 27820
93 3991
93 6499
93 6232
93 6852
93 6724
93 32221
93 29638
93 8504
93 9173
93 10122
93 9906
93 29267
93 15516
93 14969
93 24018
93 15472
93 16776
93 16544
93 17470
93 19382
95 29410
95 1932
95 1933
95 3116
95 3077
95 29735
95 3119
95 4999
95 6019
95 29772
95 30333
95 7387
95 32531
95 9135
95 10480
95 12060
95 12150
95 30041
95 29968
95 16482
95 20497
97 1058
97 1034
98 221
98 4631
98 4066
98 30941
98 13368
98 14982
98 30284
