29536	United States	0.0057751671
21974	20th century	0.0026185309
32153	19th century	0.0026104417
32344	Telecommunication	0.0025403516
21264	World War II	0.0024329597
7374	Germany	0.0023782984
5695	England	0.0022301014
20477	United Kingdom	0.0022042125
5641	Europe	0.0020935639
24232	Federal Standard 1037C	0.0019215353
20427	United States Constitution	0.0017326588
21984	18th century	0.0016026871
29643	Africa	0.0015117319
9798	Japan	0.0014234953
17317	Soviet Union	0.0013901225
21971	1970s	0.0013562602
21963	1960s	0.0013460545
29612	Canada	0.0013392196
13549	North America	0.0013341300
9115	Italy	0.0013313154
21972	1990s	0.0013059246
17251	Spain	0.0012989393
160	Asia	0.0012870038
21973	1980s	0.0012790315
29581	Australia	0.0012781682
17468	Scotland	0.0012231705
30268	21st century	0.0012198862
21985	1950s	0.0012045406
13588	Nobel Prize	0.0011798856
21983	17th century	0.0011791968
16457	Russia	0.0011626566
3192	China	0.0011197087
29790	Communism	0.0010893007
3068	Christianity	0.0010819668
21992	1940s	0.0010799227
20493	Supreme Court of the United States	0.0010790679
22021	1930s	0.0010766166
12001	Mathematics	0.0010760631
29621	Sweden	0.0010751481
21982	16th century	0.0010683565
16533	Roman Empire	0.0010646964
29950	Radio	0.0010522687
14754	Poland	0.0010472202
29591	World War I	0.0010408481
29772	English language	0.0010335199
20508	United States Congress	0.0010312088
16503	Rome	0.0010300720
13555	Netherlands	0.0010275765
22023	1920s	0.0010253340
19290	Television	0.0010126274
21780	Year in Review	0.0010117461
29751	Egypt	0.0010098346
14833	Pope	0.0009930071
29911	Great Britain	0.0009897368
5634	Earth	0.0009809412
6748	February	0.0009593333
27663	MIL-STD-188	0.0009560549
11353	London	0.0009498571
29735	Computer	0.0009465249
17848	September	0.0009451264
22029	1910s	0.0009289149
19309	Thomas Jefferson	0.0009204412
22134	1890s	0.0008982451
14831	Periodic table	0.0008949008
6956	February 11	0.0008914246
12390	March	0.0008894486
14346	October	0.0008870236
30687	Nobel Prize/Physics	0.0008863198
9934	July	0.0008841817
13774	November	0.0008822441
350	August	0.0008819343
9835	January	0.0008801198
12391	May	0.0008790163
349	April	0.0008762247
4953	December	0.0008743180
3383	Chemical element	0.0008738648
9933	June	0.0008737397
22176	1880s	0.0008731419
9120	Internet	0.0008618577
22246	1985	0.0008461302
20887	United States Secretary of State	0.0008291495
20677	United States of America/Introduction	0.0008249051
21981	15th century	0.0008236048
21986	1870s	0.0008104437
5696	European Union	0.0007990883
9116	India	0.0007921444
22033	1860s	0.0007792887
14926	Peoples Republic of China	0.0007786897
21969	2001	0.0007732300
3171	Country code	0.0007707299
29670	Islam	0.0007693522
7532	Greece	0.0007593461
30754	Real number	0.0007545114
20517	United Nations	0.0007474934
1947	Bible	0.0007316863
3047	Chemistry	0.0007205690
22103	1840s	0.0007188696
14816	Portugal	0.0007175968
17323	Science fiction	0.0007121071
22196	1830s	0.0007120681
21970	1999	0.0007095773
22135	1850s	0.0007082743
14306	Ottoman Empire	0.0007045554
29610	God	0.0006998212
22197	1820s	0.0006962063
29786	Biology	0.0006920277
21795	Year in Review 19th Century	0.0006876923
29032	Denmark	0.0006872987
14756	Physics	0.0006802111
22032	14th century	0.0006702965
30941	Film	0.0006663033
29134	Mark Twain	0.0006563768
22031	1945	0.0006536207
22198	1810s	0.0006509513
22040	13th century	0.0006472788
30004	South Africa	0.0006471504
14805	Programming language	0.0006457496
29794	Israel	0.0006436523
11372	Leap year	0.0006375099
3053	Capital	0.0006310009
15030	Portugal/History	0.0006170515
17296	Switzerland	0.0006080360
31984	Austria	0.0006060782
31456	Football	0.0006031457
13616	Norway	0.0006028229
22133	1790s	0.0006022866
284	Atom	0.0006012558
5821	Electron	0.0006008386
6573	Function	0.0005990103
9188	Iran	0.0005981679
12119	Mediterranean Sea	0.0005899567
9135	Integer	0.0005714123
6702	Frequency	0.0005705846
9148	Island	0.0005685021
31181	Greek mythology	0.0005676660
11154	Local color	0.0005646767
19365	Telephone	0.0005558802
12005	Mammal	0.0005554060
22099	1780s	0.0005533152
21398	Water	0.0005519165
7034	Free On-line Dictionary of Computing	0.0005512292
30434	Data	0.0005505238
22106	1991	0.0005470253
13545	NATO	0.0005449699
28949	Wales	0.0005425889
30297	1994	0.0005401362
14841	Pacific Ocean	0.0005382393
30855	Unix	0.0005350580
22054	1998	0.0005336996
22042	1990	0.0005311800
22142	8th century	0.0005300426
22051	12th century	0.0005262521
17299	Sun	0.0005248056
16652	Taiwan	0.0005230471
5930	Energy	0.0005215331
1918	Belgium	0.0005212331
14271	Operating system	0.0005195335
7385	Greek	0.0005189062
22098	1770s	0.0005183203
21966	2000	0.0005166804
9189	Iran/History	0.0005161563
16710	Roman Republic	0.0005112145
3193	California	0.0005065881
23718	2010s	0.0005028673
7388	Greek language	0.0005028590
221	Anime	0.0005024670
29916	Philosophy	0.0004974062
22020	1948	0.0004961137
11238	Latin	0.0004950409
166	Atlantic Ocean	0.0004942697
1913	Baltic Sea	0.0004932561
22138	7th century	0.0004922754
21993	1947	0.0004902894
22012	1949	0.0004896078
22006	1993	0.0004885060
22124	1760s	0.0004865934
23719	2020s	0.0004836566
11402	Light	0.0004832264
22066	1961	0.0004828058
3120	Carbon	0.0004799937
29999	United States/President	0.0004787742
20426	US	0.0004780340
12006	Music	0.0004752621
5784	Electromagnetic radiation	0.0004749940
11643	Legislative branch	0.0004746389
3139	Computer science	0.0004742011
22262	1953	0.0004728626
30643	Continent	0.0004706639
14782	Paris	0.0004703720
22247	1989	0.0004699793
22143	6th century	0.0004686634
16470	Rock and roll	0.0004679126
3493	Complex number	0.0004672687
31833	Protestantism	0.0004632726
29859	Turkey	0.0004631567
17273	Science	0.0004619612
31184	Norse mythology	0.0004584870
8300	Hungary	0.0004578373
13634	Northern Ireland	0.0004565184
202	American Revolutionary War	0.0004545590
